,city,state,room_type,security_deposit,guests_included,extra_people,minimum_nights,maximum_nights,review_scores_rating
0,LOS ANGELES,CA,Private room,0,1,0,2,30,100
1,NEW YORK,NY,Entire home/apt,1000,1,0,1,1125,91
2,NEW YORK,NY,Entire home/apt,450,2,150,5,1125,95
3,KAILUA-KONA,HI,Entire home/apt,500,1,0,2,1125,98
4,BROOKLYN,NY,Entire home/apt,100,4,15,4,60,94
5,NASHVILLE,TN,Entire home/apt,400,16,10,1,1125,100
6,WASHINGTON,DC,Entire home/apt,500,1,0,30,1125,100
7,BROOKLYN,NY,Private room,0,1,0,2,1125,100
8,BROOKLYN,NY,Private room,0,1,10,3,1125,92
9,HONOLULU,HI,Entire home/apt,1000,6,0,1,1125,94
10,SANTA CLARA,CA,Private room,100,1,15,3,90,99
11,SAN JOSE,CA,Private room,0,1,30,2,1125,99
12,SAN FRANCISCO,CA,Private room,200,1,15,1,30,98
13,LOS ANGELES,CA,Entire home/apt,450,6,25,1,90,93
14,SAN FRANCISCO,CA,Entire home/apt,0,1,0,2,7,98
15,QUEENS,NY,Entire home/apt,200,2,40,2,28,99
16,MONTEREY PARK,CA,Private room,200,1,0,1,1125,98
17,HALEIWA,HI,Entire home/apt,300,1,0,30,1125,98
18,KIHEI,HI,Entire home/apt,0,1,0,3,60,100
19,LOS ANGELES,CA,Shared room,0,1,0,30,365,92
20,BROOKLYN ,NY,Entire home/apt,200,12,20,4,20,98
21,NEW ORLEANS,LA,Private room,299,2,35,2,60,99
22,BROOKLYN,NY,Private room,0,1,0,1,30,92
23,LOS ANGELES,CA,Entire home/apt,500,1,0,31,180,98
24,NASHVILLE,TN,Entire home/apt,0,1,0,2,1125,80
25,AUSTIN,TX,Entire home/apt,0,1,0,2,1125,98
26,"JAMAICA PLAIN, BOSTON",MA,Entire home/apt,0,4,50,5,120,94
27,NEW ORLEANS,LA,Entire home/apt,0,4,0,2,1125,94
28,SAN DIEGO,CA,Entire home/apt,1000,1,0,2,1125,94
29,SAN FRANCISCO,CA,Entire home/apt,250,4,0,1,14,98
30,MILPITAS,CA,Private room,0,1,5,1,1125,100
31,NEW YORK,NY,Private room,0,1,0,5,1125,98
32,NEW ORLEANS,LA,Entire home/apt,0,1,0,2,1125,100
33,BROOKLYN,NY,Entire home/apt,0,1,0,2,1125,93
34,HONOLULU,HI,Entire home/apt,0,4,15,2,1125,95
35,HONOLULU,HI,Entire home/apt,500,2,0,30,1125,100
36,WASHINGTON,DC,Entire home/apt,0,1,0,2,30,100
37,AUSTIN,TX,Entire home/apt,200,1,0,45,1125,97
38,TORRANCE,CA,Private room,100,1,30,2,1125,100
39,HONOLULU,HI,Entire home/apt,500,1,0,2,1125,96
40,DENVER,CO,Entire home/apt,250,5,0,30,62,96
41,WASHINGTON,DC,Entire home/apt,0,1,0,1,890,100
42,HONOLULU,HI,Entire home/apt,100,1,0,1,1125,79
43,ROWLAND HEIGHTS,CA,Private room,0,1,0,1,1125,99
44,SOUTH PASADENA,CA,Entire home/apt,500,3,18,1,365,98
45,SEATTLE,WA,Entire home/apt,0,2,15,2,1125,97
46,DENVER,CO,Private room,0,1,0,1,1125,97
47,WAIALUA,HI,Entire home/apt,250,6,50,30,1125,100
48,WASHINGTON,DC,Entire home/apt,150,2,25,2,1125,100
49,SAN DIEGO,CA,Entire home/apt,100,2,0,1,1125,98
50,CHICAGO,IL,Entire home/apt,0,1,0,14,1125,100
51,SAINT PAUL,MN,Private room,0,1,0,1,30,96
52,LOS ANGELES,CA,Entire home/apt,0,1,0,2,1125,88
53,QUEENS,NY,Entire home/apt,1500,2,40,10,21,100
54,SAN DIEGO,CA,Private room,0,1,35,2,7,90
55,CHICAGO,IL,Entire home/apt,300,2,25,2,365,100
56,LAHAINA,HI,Entire home/apt,0,1,0,4,180,97
57,NEW YORK,NY,Private room,200,1,25,6,1125,90
58,SANTA CLARA,CA,Shared room,0,1,0,1,1125,96
59,NASHVILLE,TN,Entire home/apt,250,2,0,2,1125,98
60,KIHEI,HI,Entire home/apt,0,2,15,5,180,97
61,BROOKLYN,NY,Private room,250,1,0,2,28,90
62,CANOGA PARK,CA,Private room,200,1,0,1,1125,100
63,MINNEAPOLIS,MN,Private room,0,1,5,3,14,98
64,PRINCEVILLE,HI,Entire home/apt,1500,6,100,3,240,99
65,KAILUA-KONA,HI,Private room,200,1,0,2,10,100
66,QUEENS,NY,Private room,0,1,5,30,1125,87
67,QUEENS,NY,Entire home/apt,200,1,50,2,360,95
